V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,PID,psid,K2,project,gc,term,Q_TotalDuration,med,Q15,Q19,Q20,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q1_13,Q1_14,Q1_15,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q21_12,Q21_13,Q21_14,Q21_15,Q21_16,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q23_9,Q23_10,Q23_11,Q23_12,Q23_13,Q23_x1,Q23_x2,Q23_x3,Q23_x4,Q23_x5,Q23_x6,Q23_x7,Q23_x8,Q23_x9,Q23_x10,Q23_x16,Q23_x11,Q23_x12,Q23_x13,Q23_x14,Q23_x15,Q5,Q6,Q10,Q11,Q12,Q13,Q14,Q15,Q16,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1MHZ91LIR6VK5zn,Default Response Set,Anonymous,,,68.34.163.21,0,2015-03-06 16:07:41,2015-03-06 16:10:40,1,1104190779,NxiZSfrovz1MNkayDc1d_w**,11808,Qual724-0219FoodBeverageServers,1,,179,16595987396562,1,1,1,6,2,6,7,6,2,6,6,2,2,6,7,7,6,6,6,6,7,6,6,6,7,6,6,2,6,2,2,2,5,5,7,6,6,7,7,7,6,6,6,7,6,2,7,,,,,,,,,,,,,,,,,1,3,2,4,1,5,2,5,3,36.914093017578,-81.778800964355,-1,
R_6y70k6nUJD6s89n,Default Response Set,Anonymous,,,23.24.19.253,0,2015-03-06 16:23:37,2015-03-06 16:51:25,1,1276937653,NxiZSfrovz2wEPDk6rmE1g**,11808,Qual724-0219FoodBeverageServers,1,,1668,19192372912782,1,1,1,3,2,2,1,2,6,7,7,6,5,6,6,4,3,3,3,3,6,4,5,3,6,2,2,6,7,6,7,5,6,5,5,4,5,3,6,6,3,2,4,6,3,3,7,,,,,,,,,,,,,,,,,1,1,2,2,3,6,2,2,2,40.063598632812,-75.079696655273,-1,
R_br8iCsmwIA9MIsZ,Default Response Set,Anonymous,,,97.122.242.142,0,2015-03-06 17:04:18,2015-03-06 17:05:56,1,1222276378,NxiZSfrovz2GcH4vi4truA**,11808,Qual724-0219FoodBeverageServers,1,,98,18370813949532,1,1,1,3,4,4,4,5,5,5,4,3,3,3,3,3,3,3,5,4,4,4,3,3,3,3,5,4,3,3,3,3,3,5,5,5,4,4,3,3,3,4,5,5,4,4,4,,,,,,,,,,,,,,,,,1,2,2,5,1,6,2,5,5,39.705505371094,-104.96640014648,-1,
R_ahl7bEYrNfsDnuZ,Default Response Set,Anonymous,,,162.244.81.237,0,2015-03-06 17:21:24,2015-03-06 17:22:54,1,1273082331,NxiZSfrovz11znj-3pYJmg**,11808,Qual724-0219FoodBeverageServers,1,,90,19134427423122,1,1,1,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,6,6,6,6,6,5,5,6,5,6,6,6,6,6,5,7,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,1,3,1,4,1,8,2,3,6,40.714294433594,-74.005996704102,-1,
R_0kdkj2Tj8SLSIrb,Default Response Set,Anonymous,,,173.61.82.56,0,2015-03-06 17:55:48,2015-03-06 17:58:42,1,1237486176,NxiZSfrovz1LgGa5wL00lQ**,11808,Qual724-0219FoodBeverageServers,1,,174,18599417213472,1,1,1,3,4,4,5,4,5,5,6,5,5,3,3,4,4,4,2,2,6,3,4,3,6,5,4,5,6,5,6,6,5,5,6,4,5,3,4,5,4,5,5,5,4,5,5,,,,,,,,,,,,,,,,,1,2,1,4,3,6,2,2,3,39.758102416992,-74.925598144531,-1,
R_bJhxbt8tkCHsoT3,Default Response Set,Anonymous,,,162.239.246.184,0,2015-03-06 18:06:52,2015-03-06 18:10:20,1,1274866254,NxiZSfrovz3aQn8inBdCfQ**,11808,Qual724-0219FoodBeverageServers,1,,208,19161239785812,1,1,1,5,6,4,4,4,4,3,3,4,5,4,3,3,4,3,2,4,5,3,4,3,3,5,5,5,7,4,6,6,7,5,5,5,5,3,6,6,4,2,3,3,4,4,4,,,,,,,,,,,,,,,,,1,2,1,1,3,4,2,3,2,35.149505615234,-90.049003601074,-1,
R_bDvDbp5Y3EMoVyB,Default Response Set,Anonymous,,,99.73.166.47,0,2015-03-06 20:20:48,2015-03-06 20:22:09,1,1233722200,NxiZSfrovz1n5OtF4JNB8w**,11808,Qual724-0219FoodBeverageServers,1,,81,18542844654192,1,1,1,5,6,6,5,5,5,4,5,5,6,5,5,5,6,6,5,6,6,6,5,5,5,6,6,5,5,5,4,5,6,5,5,6,6,6,5,5,5,6,6,6,5,5,5,,,,,,,,,,,,,,,,,1,3,1,5,1,6,2,2,6,37.596298217773,-122.0657043457,-1,
R_bw2VCUPE0ziTrZb,Default Response Set,Anonymous,,,24.178.191.111,0,2015-03-06 20:28:47,2015-03-06 20:34:10,1,1277018669,NxiZSfrovz2Hw9rBK0BM5w**,11808,Qual724-0219FoodBeverageServers,1,,323,19193590583262,1,1,1,6,3,4,4,5,3,6,5,4,2,5,6,6,7,6,5,5,6,6,4,6,6,6,5,2,3,1,5,5,6,5,6,4,6,5,6,6,4,3,6,6,6,6,7,,,,,,,,,,,,,,,,,1,1,2,4,3,7,3,2,3,33.416793823242,-86.680099487305,-1,
R_2cvx7xzNUNzrC85,Default Response Set,Anonymous,,,64.139.44.205,0,2015-03-06 20:54:35,2015-03-06 20:58:01,1,1206393258,NxiZSfrovz3dR_302gJLwg**,11808,Qual724-0219FoodBeverageServers,1,,206,18132090655932,1,1,1,7,7,6,6,5,6,6,6,5,5,5,6,6,5,5,7,7,6,6,5,5,5,5,3,5,6,6,5,5,5,5,7,7,6,6,5,5,4,4,4,5,4,4,5,,,,,,,,,,,,,,,,,1,3,1,4,1,7,1,3,5,37.668792724609,-122.08079528809,-1,
R_blolveYRJg6GAbX,Default Response Set,Anonymous,,,69.40.114.149,0,2015-03-07 00:19:22,2015-03-07 00:26:55,1,1276128547,NxiZSfrovz3xRhzuNFewQg**,11808,Qual724-0219FoodBeverageServers,1,,453,19180212049602,1,1,1,2,6,3,3,4,6,5,7,2,3,6,6,6,6,6,6,7,7,5,6,6,7,6,4,1,4,1,4,2,1,5,7,4,6,6,7,7,4,5,6,6,6,7,7,,,,,,,,,,,,,,,,,1,5,2,4,4,2,2,3,3,34.572799682617,-84.026298522949,-1,
R_0xHuTHGJhjnqEzH,Default Response Set,Anonymous,,,24.208.243.38,0,2015-03-07 00:57:33,2015-03-07 01:02:36,1,1275428446,NxiZSfrovz1HSyaKXKNN3Q**,11808,Qual724-0219FoodBeverageServers,1,,303,19169689531572,1,1,1,6,5,6,6,5,3,2,3,2,2,5,6,6,6,5,5,6,6,5,5,5,6,6,7,2,4,5,5,5,5,5,7,6,7,6,7,7,7,6,6,7,7,6,6,,,,,,,,,,,,,,,,,1,2,1,4,3,6,2,2,4,40.101806640625,-83.072998046875,-1,
R_3z3Dz4aWX98cWDH,Default Response Set,Anonymous,,,24.227.88.104,0,2015-03-07 01:48:11,2015-03-07 01:51:31,1,1269580327,NxiZSfrovz3K7rhGLQkKzg**,11808,Qual724-0219FoodBeverageServers,1,,200,19081792303002,1,1,1,7,6,6,7,6,7,6,6,7,7,7,6,6,7,6,5,6,6,7,7,6,5,6,7,6,6,6,7,5,6,5,6,5,6,6,7,6,5,6,6,5,6,7,6,,,,,,,,,,,,,,,,,1,2,2,4,1,3,2,5,5,27.871505737305,-82.654197692871,-1,
R_dcIKei3ZMsUIOCF,Default Response Set,Anonymous,,,173.17.144.105,0,2015-03-06 21:40:58,2015-03-07 05:27:03,1,1268117326,NxiZSfrovz3oLZalcmQN-A**,11808,Qual724-0219FoodBeverageServers,1,,27965,19059803397972,1,1,1,6,7,7,5,6,5,7,7,6,5,7,6,7,6,5,6,7,7,5,6,6,7,7,5,6,7,6,7,7,5,5,5,7,7,6,5,6,7,7,5,6,5,5,7,,,,,,,,,,,,,,,,,1,3,2,4,1,6,2,1,5,42.024505615234,-91.662002563477,-1,
R_cVjL20cCF2Ilxf7,Default Response Set,Anonymous,,,74.101.57.23,0,2015-03-07 06:44:27,2015-03-07 06:47:17,1,1273327186,NxiZSfrovz0y_pKAMbXing**,11808,Qual724-0219FoodBeverageServers,1,,170,19138107593772,1,1,1,5,5,5,5,5,6,6,6,6,6,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,5,6,6,6,6,5,6,6,6,5,5,5,5,5,5,6,5,5,6,,,,,,,,,,,,,,,,,1,3,1,4,1,8,2,2,6,40.72509765625,-73.707000732422,-1,
R_cMdvWtmpAMSr70x,Default Response Set,Anonymous,,,50.4.86.175,0,2015-03-07 07:32:34,2015-03-07 07:35:01,1,1232609426,NxiZSfrovz2sf4D-w-Qt-w**,11808,Qual724-0219FoodBeverageServers,1,,147,18526119660972,1,1,1,7,4,7,7,7,1,4,5,6,6,7,7,7,7,7,7,7,7,7,5,6,6,7,7,7,5,6,1,1,4,5,7,7,7,7,7,7,7,7,7,5,7,7,7,,,,,,,,,,,,,,,,,1,3,2,4,1,3,2,5,2,41.313003540039,-81.851196289062,-1,
R_88pkFrv8ahByYUB,Default Response Set,Anonymous,,,174.106.148.116,0,2015-03-07 07:53:39,2015-03-07 07:59:47,1,1234701636,NxiZSfrovz2CHSgLSZBAyQ**,11808,Qual724-0219FoodBeverageServers,1,,368,18557565577272,1,1,1,4,1,1,1,1,7,7,7,7,7,6,4,5,5,5,3,4,7,4,3,6,5,4,5,5,7,4,6,6,7,5,7,7,7,7,7,6,7,6,4,7,7,6,7,,,,,,,,,,,,,,,,,1,1,1,2,3,3,2,3,6,34.848098754883,-76.611503601074,-1,
R_cvDr5tHExJzF8eV,Default Response Set,Anonymous,,,68.168.220.251,0,2015-03-07 08:01:22,2015-03-07 08:02:51,1,1183159826,NxiZSfrovz0eSFP0XL5jAw**,11808,Qual724-0219FoodBeverageServers,1,,89,17782892172972,1,1,1,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,1,3,1,4,1,3,2,4,6,40.776901245117,-73.981300354004,-1,
R_ahImOlPXr6eN65v,Default Response Set,Anonymous,,,77.109.141.138,0,2015-03-07 08:10:16,2015-03-07 08:13:34,1,1272965396,NxiZSfrovz3cKJxfUgXnlA**,11808,Qual724-0219FoodBeverageServers,1,,198,19132669890072,1,1,1,5,2,5,6,3,3,3,6,2,3,5,5,5,4,4,5,5,6,3,5,5,5,3,5,3,6,6,6,5,6,5,6,4,6,6,6,6,4,5,4,5,5,6,5,,,,,,,,,,,,,,,,,1,2,1,4,3,4,2,5,2,0,0,-1,
R_bHhVKHFlIXDVt09,Default Response Set,Anonymous,,,98.162.251.138,0,2015-03-07 08:11:20,2015-03-07 08:14:57,1,1224450227,NxiZSfrovz1Uk88PqMIm9Q**,11808,Qual724-0219FoodBeverageServers,1,,217,18403486900002,1,1,1,7,5,5,4,4,5,6,6,5,5,7,6,7,7,7,6,6,5,6,2,5,7,7,7,5,4,4,5,2,6,5,7,4,7,7,7,7,6,7,7,7,7,7,7,,,,,,,,,,,,,,,,,1,4,1,4,1,6,2,5,4,35.460494995117,-97.397399902344,-1,
R_8CaPzT7maAVVyNn,Default Response Set,Anonymous,,,64.222.250.131,0,2015-03-07 08:20:18,2015-03-07 08:23:42,1,1213776134,NxiZSfrovz1Jss4nc4bsJA**,11808,Qual724-0219FoodBeverageServers,1,,204,18243055282212,1,1,1,5,6,6,5,7,6,5,6,7,6,6,6,7,7,6,5,6,6,5,7,6,6,4,6,5,4,2,2,2,2,5,5,4,4,3,7,5,6,4,5,6,5,6,5,,,,,,,,,,,,,,,,,1,1,1,4,3,6,2,1,4,44.084503173828,-70.16960144043,-1,
R_8uDH2gPeaF4f7Nz,Default Response Set,Anonymous,,,173.189.178.25,0,2015-03-07 08:44:55,2015-03-07 08:46:43,1,1079467956,NxiZSfrovz1BaACm2AYhKw**,11808,Qual724-0219FoodBeverageServers,1,,108,16224403366872,1,1,1,7,4,5,6,6,3,2,4,4,3,6,6,6,6,6,2,4,7,6,4,5,5,5,6,1,2,1,1,1,1,5,7,6,6,6,7,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,1,4,1,4,1,6,2,3,6,35.111999511719,-80.761703491211,-1,
R_2mZJaaw3rS208iF,Default Response Set,Anonymous,,,74.69.24.237,0,2015-03-07 08:43:13,2015-03-07 08:47:45,1,1254465003,NxiZSfrovz0B1-ECcdqH_w**,11808,Qual724-0219FoodBeverageServers,1,,272,18854608983282,1,1,1,6,3,4,5,4,3,3,4,4,4,4,4,5,5,5,4,5,5,4,2,5,5,5,5,4,5,5,5,4,5,5,6,5,6,4,6,7,6,6,6,4,6,7,6,,,,,,,,,,,,,,,,,1,5,2,4,3,2,2,5,2,43.228500366211,-77.655799865723,-1,
R_eKVAGY6iQDNjQVf,Default Response Set,Anonymous,,,97.82.45.24,0,2015-03-07 08:50:03,2015-03-07 08:51:43,1,1260644175,NxiZSfrovz1Czd6pJnfkww**,11808,Qual724-0219FoodBeverageServers,1,,100,18947481938442,1,1,1,6,4,4,4,4,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,5,4,4,4,4,4,4,4,1,1,4,1,1,4,,,,,,,,,,,,,,,,,1,1,2,4,3,2,2,3,5,33.899703979492,-87.171997070312,-1,
R_0StFLg7VVyiiIex,Default Response Set,Anonymous,,,50.137.190.130,0,2015-03-07 08:56:30,2015-03-07 09:03:16,1,1164973844,NxiZSfrovz2tDGoQwl8mdg**,11808,Qual724-0219FoodBeverageServers,1,,406,17509556863512,1,1,1,3,2,3,6,3,4,6,6,4,5,6,6,7,6,6,6,4,4,4,3,5,6,6,6,1,3,1,1,1,1,5,7,4,6,4,4,7,4,6,6,6,7,5,6,,,,,,,,,,,,,,,,,1,5,1,4,4,2,2,5,3,45.671295166016,-122.66040039062,-1,
R_abGgwXxYkOsqIwB,Default Response Set,Anonymous,,,67.246.39.129,0,2015-03-07 09:06:13,2015-03-07 09:07:31,1,1265716403,NxiZSfrovz0dCfhEthytaw**,11808,Qual724-0219FoodBeverageServers,1,,78,19023717525282,1,1,1,6,6,5,5,5,4,4,4,5,5,4,4,5,4,4,4,4,5,4,5,4,5,4,5,4,5,5,5,4,4,5,4,4,4,5,5,5,4,5,5,5,5,5,4,,,,,,,,,,,,,,,,,1,1,1,4,3,3,2,3,4,42.749496459961,-73.595100402832,-1,
R_6KKRVsE886VKXgp,Default Response Set,Anonymous,,,98.177.189.220,0,2015-03-07 09:06:38,2015-03-07 09:11:19,1,1224566171,NxiZSfrovz3H5a6FrWHbTg**,11808,Qual724-0219FoodBeverageServers,1,,281,18405229538322,1,1,1,7,6,5,6,7,6,4,7,6,3,7,6,7,6,5,5,6,5,4,6,3,5,6,6,5,7,6,5,6,4,5,7,5,6,5,7,6,2,6,7,6,4,5,6,,,,,,,,,,,,,,,,,1,2,2,4,2,8,2,4,6,33.623794555664,-112.00399780273,-1,
R_0HZdBKcROMUZ6iV,Default Response Set,Anonymous,,,207.244.86.78,0,2015-03-07 09:04:44,2015-03-07 09:12:28,1,1274869986,NxiZSfrovz0hD3d03dKRwg**,11808,Qual724-0219FoodBeverageServers,1,,464,19161295877772,1,1,1,7,4,7,4,7,4,7,5,4,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,4,4,3,6,4,4,5,7,7,7,4,7,7,4,3,7,7,7,7,7,,,,,,,,,,,,,,,,,1,3,1,4,1,8,1,3,5,38.793197631836,-77.536598205566,-1,
R_5yWTgZ14ve6pyK1,Default Response Set,Anonymous,,,64.223.132.120,0,2015-03-07 09:12:37,2015-03-07 09:19:39,1,1271619520,NxiZSfrovz2RsjhLfBW1IA**,11808,Qual724-0219FoodBeverageServers,1,,422,19112441373792,1,1,1,6,4,4,4,5,3,5,4,4,2,5,5,5,3,3,1,5,5,3,3,5,5,5,6,7,7,7,7,6,6,5,6,4,4,4,7,5,5,3,5,6,5,5,4,,,,,,,,,,,,,,,,,1,1,1,4,3,2,2,2,3,43.678298950195,-70.198699951172,-1,
R_3QPOQafVxdGQiIR,Default Response Set,Anonymous,,,71.9.189.43,0,2015-03-07 09:21:26,2015-03-07 09:28:44,1,1223946766,NxiZSfrovz1PVIwc82Iezg**,11808,Qual724-0219FoodBeverageServers,1,,438,18395919881172,1,1,1,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,2,2,2,4,4,4,4,2,6,6,5,5,6,5,5,4,5,5,4,4,4,5,6,5,5,4,4,4,,,,,,,,,,,,,,,,,1,2,2,1,1,3,2,2,3,35.520599365234,-86.070297241211,-1,
R_6lKoAg6bitZHrBb,Default Response Set,Anonymous,,,96.231.147.4,0,2015-03-07 08:55:06,2015-03-07 09:52:28,1,1079236359,NxiZSfrovz027RFif0o4bQ**,11808,Qual724-0219FoodBeverageServers,1,,3442,16220922463962,1,1,1,7,7,7,7,7,1,1,1,1,1,7,7,7,7,7,6,6,6,6,6,6,7,7,7,1,1,1,1,1,1,5,7,5,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,1,4,2,4,1,6,2,5,6,39.096694946289,-76.877899169922,-1,
R_aWsQDGkcZQJvLwN,Default Response Set,Anonymous,,,24.154.44.6,0,2015-03-07 09:50:03,2015-03-07 09:54:37,1,1090223396,NxiZSfrovz29oBzcloQAXg**,11808,Qual724-0219FoodBeverageServers,1,,274,16386057630072,1,1,1,3,4,2,2,4,5,4,5,4,5,5,6,5,5,4,5,3,4,3,3,4,5,4,4,3,4,4,4,3,5,5,5,4,5,6,4,5,5,5,5,5,4,5,4,,,,,,,,,,,,,,,,,1,3,2,4,1,3,2,5,4,39.67170715332,-76.05460357666,-1,
R_bIOk79MdEgcyuLX,Default Response Set,Anonymous,,,50.13.120.128,0,2015-03-07 09:44:34,2015-03-07 09:55:36,1,1204488411,NxiZSfrovz1aJwWTI-AKeQ**,11808,Qual724-0219FoodBeverageServers,1,,662,18103460805522,1,1,1,3,3,4,3,3,5,4,5,4,5,5,5,5,5,5,5,4,5,5,3,5,5,4,4,2,3,3,2,2,2,5,5,4,4,4,5,5,4,5,5,5,5,3,5,,,,,,,,,,,,,,,,,1,5,1,4,1,3,2,3,2,39.99299621582,-82.998497009277,-1,
R_0xO58iylIg9Krhr,Default Response Set,Anonymous,,,96.227.231.92,0,2015-03-07 10:00:19,2015-03-07 10:04:04,1,1270755864,NxiZSfrovz3qTs1BjghJ9w**,11808,Qual724-0219FoodBeverageServers,1,,225,19099460624112,1,1,1,6,7,6,6,4,5,7,7,3,3,6,6,5,5,5,5,4,5,5,3,5,7,5,5,4,5,7,7,6,7,5,6,6,6,7,7,7,6,3,5,7,4,2,5,,,,,,,,,,,,,,,,,1,2,1,4,1,6,2,3,4,40.102996826172,-74.941497802734,-1,
R_4HCiHgY2FW76K1f,Default Response Set,Anonymous,,,69.73.12.194,0,2015-03-07 10:05:19,2015-03-07 10:11:22,1,1277210653,NxiZSfrovz23BbAdfP5K8w**,11808,Qual724-0219FoodBeverageServers,1,,363,19196476102782,1,1,1,7,1,5,6,6,1,1,7,2,2,6,6,6,7,6,6,6,7,5,5,6,6,6,7,3,5,2,3,2,3,5,6,7,7,6,6,6,7,7,7,7,7,7,6,,,,,,,,,,,,,,,,,1,2,2,1,1,4,2,2,3,32.481399536133,-84.903297424316,-1,
R_aY44BMXAGlGskhT,Default Response Set,Anonymous,,,199.241.148.2,0,2015-03-07 10:05:36,2015-03-07 10:12:56,1,1079312599,NxiZSfrovz0-tHoa2jpwHA**,11808,Qual724-0219FoodBeverageServers,1,,440,16222068351162,1,1,1,3,3,4,3,3,6,6,6,4,4,6,5,5,6,5,6,6,6,6,4,6,6,5,6,4,4,5,5,4,6,5,6,4,6,6,5,7,6,7,7,7,7,7,5,,,,,,,,,,,,,,,,,1,5,2,4,1,2,2,5,4,38.10009765625,-114.38150024414,-1,
R_eJ6zHCjMy3RfFzL,Default Response Set,Anonymous,,,67.10.113.191,0,2015-03-07 10:10:17,2015-03-07 10:15:26,1,1138861868,NxiZSfrovz3KqB99soqJcg**,11808,Qual724-0219FoodBeverageServers,1,,309,17117093864232,1,1,1,3,3,2,3,4,5,4,4,5,5,5,2,2,4,4,4,4,4,3,5,4,5,4,5,5,5,5,5,6,6,5,3,2,3,3,4,3,3,3,3,3,4,4,3,,,,,,,,,,,,,,,,,1,2,1,3,3,7,2,4,5,30.102798461914,-94.174003601074,-1,
R_esT62lUxIN2FjEh,Default Response Set,Anonymous,,,98.253.101.253,0,2015-03-07 10:19:36,2015-03-07 10:23:56,1,1157978038,NxiZSfrovz3IAJu7kDPO6g**,11808,Qual724-0219FoodBeverageServers,1,,260,17404409899332,1,1,1,5,6,7,6,6,6,7,7,6,5,5,4,5,7,6,5,4,6,7,6,7,7,6,5,4,6,7,6,5,6,5,5,6,7,7,6,5,6,7,7,6,6,7,6,,,,,,,,,,,,,,,,,1,2,1,4,3,3,2,3,4,41.740295410156,-87.653999328613,-1,
R_20qqmt2VjqlgclL,Default Response Set,Anonymous,,,173.79.40.178,0,2015-03-07 10:37:14,2015-03-07 10:39:12,1,1251444762,NxiZSfrovz2tS80ADo8aJA**,11808,Qual724-0219FoodBeverageServers,1,,118,18809214761052,1,1,1,7,6,6,7,7,6,5,6,6,7,6,7,6,6,5,6,5,6,6,7,6,6,5,5,6,7,5,6,6,7,5,6,5,6,6,7,6,5,6,6,7,6,5,5,,,,,,,,,,,,,,,,,1,2,2,4,1,6,2,4,5,39.089202880859,-77.183502197266,-1,
R_1WVoLbBhSkLrTQV,Default Response Set,Anonymous,,,68.82.75.103,0,2015-03-07 10:37:20,2015-03-07 10:42:46,1,1131956671,NxiZSfrovz13Qu5lEDNArA**,11808,Qual724-0219FoodBeverageServers,1,,326,17013308753322,1,1,1,6,4,4,6,5,2,2,4,1,2,6,6,6,6,6,6,5,6,6,6,6,6,7,6,4,6,5,5,4,5,5,7,7,7,7,7,7,7,6,6,5,6,5,6,,,,,,,,,,,,,,,,,1,5,1,4,1,2,3,5,5,39.747192382812,-75.591796875,-1,
R_42znWZTq3o6kWZn,Default Response Set,Anonymous,,,70.59.167.183,0,2015-03-07 10:39:55,2015-03-07 10:44:27,1,1275497178,NxiZSfrovz2Q9bxYO5ceCw**,11808,Qual724-0219FoodBeverageServers,1,,272,19170722573532,1,1,1,6,5,5,4,5,3,5,6,3,5,6,6,6,5,5,4,5,6,3,5,5,4,4,6,4,4,2,2,2,5,5,7,6,6,5,6,5,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,1,1,1,4,3,2,2,4,2,41.240005493164,-95.964996337891,-1,
R_6qTth7PVqqDdCg5,Default Response Set,Anonymous,,,104.10.157.99,0,2015-03-07 11:00:09,2015-03-07 11:04:05,1,1249251802,NxiZSfrovz24eEO2LUStXQ**,11808,Qual724-0219FoodBeverageServers,1,,236,18776254572252,1,1,1,7,7,7,7,7,6,6,7,7,6,6,6,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,6,6,6,5,7,7,7,6,6,6,7,7,6,6,6,6,7,,,,,,,,,,,,,,,,,1,2,2,4,1,5,1,4,5,42.175903320312,-88.460800170898,-1,
R_9WA86bWTmr0E5Zb,Default Response Set,Anonymous,,,67.175.217.208,0,2015-03-07 11:01:03,2015-03-07 11:04:54,1,1266748650,NxiZSfrovz1tEUjerlwQ5A**,11808,Qual724-0219FoodBeverageServers,1,,231,19039232197692,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,1,3,1,5,1,6,2,3,4,41.849304199219,-87.67310333252,-1,
R_6JMzbi9lGSacqGN,Default Response Set,Anonymous,,,69.60.121.29,0,2015-03-07 10:58:28,2015-03-07 11:05:38,1,1266104331,NxiZSfrovz0q9Jq5G1lLNQ**,11808,Qual724-0219FoodBeverageServers,1,,430,19029548083122,1,1,1,7,7,4,7,4,4,7,7,4,4,7,7,7,7,7,7,7,7,7,4,7,7,7,5,7,7,7,4,4,5,5,7,7,7,7,4,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,1,3,1,4,1,8,1,3,5,25.782897949219,-80.135803222656,-1,
R_0j19SoTK8TqK33L,Default Response Set,Anonymous,,,67.221.255.37,0,2015-03-07 11:06:01,2015-03-07 11:10:37,1,1274804597,NxiZSfrovz0oSV8U6G1QYQ**,11808,Qual724-0219FoodBeverageServers,1,,276,19160313081102,1,1,1,5,4,5,5,5,3,3,3,4,5,7,7,7,7,6,4,5,6,7,7,6,5,5,7,7,4,5,6,7,6,5,5,6,7,6,6,5,6,7,6,5,5,6,7,,,,,,,,,,,,,,,,,1,2,1,4,1,6,2,3,5,40.714294433594,-74.005996704102,-1,
R_882U0kJjITAzeu1,Default Response Set,Anonymous,,,70.125.83.43,0,2015-03-07 12:00:37,2015-03-07 12:02:19,1,1086370749,NxiZSfrovz1Dmv56uUp_Pg**,11808,Qual724-0219FoodBeverageServers,1,,102,16328152345662,1,1,1,6,6,6,6,6,3,3,3,3,3,6,6,6,6,6,6,6,6,6,4,5,5,5,5,5,5,5,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,4,7,,,,,,,,,,,,,,,,,1,3,1,4,3,5,2,5,3,31.918395996094,-85.208602905273,-1,
R_9KQ2u8n2N4JMeFf,Default Response Set,Anonymous,,,70.171.211.119,0,2015-03-07 12:13:53,2015-03-07 12:20:32,1,1274582345,NxiZSfrovz0rkegXcMhV6w**,11808,Qual724-0219FoodBeverageServers,1,,399,19156972633542,1,1,1,6,1,3,1,2,6,6,6,6,6,6,6,6,5,6,6,6,7,6,5,6,6,5,6,2,5,5,5,5,5,5,7,7,7,7,7,7,7,6,7,6,6,6,6,,,,,,,,,,,,,,,,,1,6,1,4,4,3,1,3,4,32.247604370117,-110.94999694824,-1,
R_cYzSQxpZhrzh1WJ,Default Response Set,Anonymous,,,173.175.221.148,0,2015-03-07 12:28:00,2015-03-07 12:29:47,1,1258660473,NxiZSfrovz37-xsfirJfqg**,11808,Qual724-0219FoodBeverageServers,1,,107,18917666897382,1,1,1,6,6,6,6,6,6,4,6,3,6,6,6,6,6,6,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,6,6,6,6,6,6,6,6,5,6,,,,,,,,,,,,,,,,,1,2,1,4,1,3,2,5,4,32.720794677734,-97.16259765625,-1,
R_emHDa37BN91ZaXb,Default Response Set,Anonymous,,,50.141.98.7,0,2015-03-07 12:34:39,2015-03-07 12:38:48,1,1277247790,NxiZSfrovz3__Bu2aE4FJA**,11808,Qual724-0219FoodBeverageServers,1,,249,19197034271892,1,1,1,4,3,3,4,3,3,5,5,4,3,6,6,7,5,6,6,6,6,6,5,6,6,5,7,3,6,2,2,2,2,5,6,6,6,4,4,7,4,5,4,6,6,6,6,,,,,,,,,,,,,,,,,1,1,2,4,1,1,2,1,1,45.498001098633,-122.77839660645,-1,
